"source_url","source_type","route_pattern","diff_type","initial_http_status","final_http_status","canonical","content_language","sitemap_included","authoritative_ref","decision_context","notes"
"https://www.enhe-tech.com.cn/","sitemap","/","MATCHED","200","200","https://www.enhe-tech.com.cn/","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/about","sitemap","/about","CONTENT_LANGUAGE_MISMATCH","200","200","https://www.enhe-tech.com.cn/about","en-US","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","Public language evidence remains unchanged.","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/account-services","sitemap","/account-services","NEEDS_OWNER_DECISION","200","200","https://www.enhe-tech.com.cn/account-services","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","Approved IA removes this content; redirect versus 410 needs traffic/link evidence.","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/account-services/chatgpt-codex-dalle","sitemap","/account-services/:slug","MATCHED","200","200","https://www.enhe-tech.com.cn/account-services/chatgpt-codex-dalle","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/account-services/chatgpt-plus-100","sitemap","/account-services/:slug","MATCHED","200","200","https://www.enhe-tech.com.cn/account-services/chatgpt-plus-100","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/account-services/gmail-google","sitemap","/account-services/:slug","MATCHED","200","200","https://www.enhe-tech.com.cn/account-services/gmail-google","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/ai-news","sitemap","/ai-news","MATCHED","200","200","https://www.enhe-tech.com.cn/ai-news","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/ai-news/a2a-mcp-agent-name-service-selection","sitemap","/ai-news/:slug","MATCHED","200","200","https://www.enhe-tech.com.cn/ai-news/a2a-mcp-agent-name-service-selection","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/ai-news/adobe-creative-agent-ai","sitemap","/ai-news/:slug","MATCHED","200","200","https://www.enhe-tech.com.cn/ai-news/adobe-creative-agent-ai","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
"https://www.enhe-tech.com.cn/ai-news/agent-365-ai","sitemap","/ai-news/:slug","MATCHED","200","200","https://www.enhe-tech.com.cn/ai-news/agent-365-ai","zh-CN","YES","3497d1709a80b9c5a69d8c1b9eab41af2832f50f","","Public V2 observation reused; no full sitemap refetch."
